ts_ms,group_id,round_id,policy,dispatch_ms,wait_ms,total_ms,succeeded,cancelled,experts_used,stalls_caused_by_block,overall_deadline_ms,missed_deadline
1787493501599,5,14,serial,1,0,360,5,0,5,0,300,1
1787493501902,6,14,serial,2,0,303,4,0,4,0,300,1
1787493502146,7,14,serial,3,0,244,4,0,4,0,300,0
1787493502409,0,15,serial,1,0,263,4,0,4,0,300,0
1787493502798,1,15,serial,1,0,389,5,0,5,0,300,1
1787493503079,2,15,serial,2,0,280,4,0,4,0,300,0
1787493503326,3,15,serial,2,0,247,4,0,4,0,300,0
1787493503578,4,15,serial,2,0,252,4,0,4,0,300,0
1787493503964,5,15,serial,3,0,386,5,0,5,0,300,1
1787493504241,6,15,serial,1,0,276,4,0,4,0,300,0
1787493504487,7,15,serial,2,0,246,4,0,4,0,300,0
1787493504747,0,16,serial,3,0,260,4,0,4,0,300,0
1787493505123,1,16,serial,3,0,376,5,0,5,0,300,1
1787493505419,2,16,serial,1,0,296,4,0,4,0,300,0
1787493505666,3,16,serial,1,0,247,4,0,4,0,300,0
1787493505917,4,16,serial,2,0,251,4,0,4,0,300,0
1787493506260,5,16,serial,2,0,343,5,0,5,0,300,1
1787493506554,6,16,serial,2,0,294,4,0,4,0,300,0
1787493506811,7,16,serial,1,0,257,4,0,4,0,300,0
1787493507109,0,17,serial,2,0,298,4,0,4,0,300,0
1787493507510,1,17,serial,3,0,401,5,0,5,0,300,1
1787493507821,2,17,serial,3,0,311,4,0,4,0,300,1
1787493508083,3,17,serial,2,0,262,4,0,4,0,300,0
1787493508377,4,17,serial,1,0,294,4,0,4,0,300,0
1787493508734,5,17,serial,1,0,357,5,0,5,0,300,1
1787493509030,6,17,serial,1,0,296,4,0,4,0,300,0
1787493509267,7,17,serial,1,0,237,4,0,4,0,300,0
1787493509545,0,18,serial,3,0,278,4,0,4,0,300,0
1787493509901,1,18,serial,1,0,356,5,0,5,0,300,1
1787493510196,2,18,serial,2,0,295,4,0,4,0,300,0
1787493510426,3,18,serial,2,0,230,4,0,4,0,300,0
1787493510688,4,18,serial,1,0,262,4,0,4,0,300,0
1787493511055,5,18,serial,3,0,367,5,0,5,0,300,1
1787493511354,6,18,serial,3,0,299,4,0,4,0,300,0
1787493511590,7,18,serial,3,0,236,4,0,4,0,300,0
1787493511867,0,19,serial,3,0,276,4,0,4,0,300,0
1787493512233,1,19,serial,3,0,366,5,0,5,0,300,1
1787493512543,2,19,serial,3,0,310,4,0,4,0,300,1
1787493512797,3,19,serial,2,0,254,4,0,4,0,300,0
1787493513073,4,19,serial,3,0,276,4,0,4,0,300,0
1787493513432,5,19,serial,3,0,359,5,0,5,0,300,1
1787493513726,6,19,serial,3,0,294,4,0,4,0,300,0
1787493513961,7,19,serial,3,0,235,4,0,4,0,300,0

summary,policy,groups,rounds,total_tasks,total_ok,total_cancelled,p95_total_ms,p99_total_ms,missed_deadline_count,avg_experts_per_task,rss_kb
summary,serial,8,20,160,680,0,375,389,46,4.250,33644
