ts_ms,group_id,round_id,policy,dispatch_ms,wait_ms,total_ms,succeeded,cancelled,experts_used,stalls_caused_by_block,overall_deadline_ms,missed_deadline
1787496839189,13,1,serial,1,0,374,5,0,5,0,300,1
1787496839192,13,1,parallel_o5,3,0,73,5,0,5,0,300,0
1787496839201,14,1,serial,1,0,354,6,0,6,0,300,1
1787496839204,14,1,parallel_o5,3,0,78,6,0,6,0,300,0
1787496839213,15,1,serial,1,0,529,7,0,7,0,300,1
1787496839216,15,1,parallel_o5,3,0,92,7,0,7,0,300,0
1787496839225,16,1,serial,1,0,234,4,0,4,0,300,0
1787496839228,16,1,parallel_o5,3,0,93,4,0,4,0,300,0
1787496839237,17,1,serial,1,0,329,5,0,5,0,300,1
1787496839240,17,1,parallel_o5,3,0,102,5,0,5,0,300,0
1787496839249,18,1,serial,1,0,451,6,0,6,0,300,1
1787496839252,18,1,parallel_o5,3,0,95,6,0,6,0,300,0
1787496839261,19,1,serial,1,0,392,7,0,7,0,300,1
1787496839264,19,1,parallel_o5,3,0,99,7,0,7,0,300,0
1787496839273,0,2,serial,1,0,282,4,0,4,0,300,0
1787496839276,0,2,parallel_o5,3,0,101,4,0,4,0,300,0
1787496839285,1,2,serial,1,0,288,5,0,5,0,300,0
1787496839288,1,2,parallel_o5,3,0,101,5,0,5,0,300,0
1787496839297,2,2,serial,1,0,360,6,0,6,0,300,1
1787496839300,2,2,parallel_o5,3,0,102,6,0,6,0,300,0
1787496839309,3,2,serial,1,0,518,7,0,7,0,300,1
1787496839312,3,2,parallel_o5,3,0,90,7,0,7,0,300,0
1787496839321,4,2,serial,1,0,233,4,0,4,0,300,0
1787496839324,4,2,parallel_o5,3,0,85,4,0,4,0,300,0
1787496839333,5,2,serial,1,0,346,5,0,5,0,300,1
1787496839336,5,2,parallel_o5,3,0,94,5,0,5,0,300,0
1787496839345,6,2,serial,1,0,438,6,0,6,0,300,1
1787496839348,6,2,parallel_o5,3,0,101,6,0,6,0,300,0
1787496839357,7,2,serial,1,0,461,7,0,7,0,300,1
1787496839360,7,2,parallel_o5,3,0,93,7,0,7,0,300,0
1787496839369,8,2,serial,1,0,257,4,0,4,0,300,0
1787496839372,8,2,parallel_o5,3,0,65,4,0,4,0,300,0
1787496839381,9,2,serial,1,0,349,5,0,5,0,300,1
1787496839384,9,2,parallel_o5,3,0,101,5,0,5,0,300,0
1787496839393,10,2,serial,1,0,411,6,0,6,0,300,1
1787496839396,10,2,parallel_o5,3,0,94,6,0,6,0,300,0
1787496839405,11,2,serial,1,0,461,7,0,7,0,300,1
1787496839408,11,2,parallel_o5,3,0,96,7,0,7,0,300,0
1787496839417,12,2,serial,1,0,221,4,0,4,0,300,0
1787496839420,12,2,parallel_o5,3,0,85,4,0,4,0,300,0
1787496839429,13,2,serial,1,0,337,5,0,5,0,300,1
1787496839432,13,2,parallel_o5,3,0,88,5,0,5,0,300,0
1787496839441,14,2,serial,1,0,331,6,0,6,0,300,1
1787496839444,14,2,parallel_o5,3,0,91,6,0,6,0,300,0
1787496839453,15,2,serial,1,0,497,7,0,7,0,300,1
1787496839456,15,2,parallel_o5,3,0,102,7,0,7,0,300,0
1787496839465,16,2,serial,1,0,311,4,0,4,0,300,1
1787496839468,16,2,parallel_o5,3,0,100,4,0,4,0,300,0
1787496839477,17,2,serial,1,0,281,5,0,5,0,300,0
1787496839480,17,2,parallel_o5,3,0,91,5,0,5,0,300,0
1787496839489,18,2,serial,1,0,387,6,0,6,0,300,1
1787496839492,18,2,parallel_o5,3,0,97,6,0,6,0,300,0
1787496839501,19,2,serial,1,0,436,7,0,7,0,300,1
1787496839504,19,2,parallel_o5,3,0,96,7,0,7,0,300,0
1787496839513,0,3,serial,1,0,240,4,0,4,0,300,0
1787496839516,0,3,parallel_o5,3,0,102,4,0,4,0,300,0
1787496839525,1,3,serial,1,0,421,5,0,5,0,300,1
1787496839528,1,3,parallel_o5,3,0,96,5,0,5,0,300,0
1787496839537,2,3,serial,1,0,412,6,0,6,0,300,1
1787496839540,2,3,parallel_o5,3,0,100,6,0,6,0,300,0
1787496839549,3,3,serial,1,0,532,7,0,7,0,300,1
1787496839552,3,3,parallel_o5,3,0,98,7,0,7,0,300,0
1787496839561,4,3,serial,1,0,275,4,0,4,0,300,0
1787496839564,4,3,parallel_o5,3,0,102,4,0,4,0,300,0
1787496839573,5,3,serial,1,0,423,5,0,5,0,300,1
1787496839576,5,3,parallel_o5,3,0,82,5,0,5,0,300,0
1787496839585,6,3,serial,1,0,354,6,0,6,0,300,1
1787496839588,6,3,parallel_o5,3,0,98,6,0,6,0,300,0
1787496839597,7,3,serial,1,0,498,7,0,7,0,300,1
1787496839600,7,3,parallel_o5,3,0,95,7,0,7,0,300,0
1787496839609,8,3,serial,1,0,289,4,0,4,0,300,0
1787496839612,8,3,parallel_o5,3,0,86,4,0,4,0,300,0
1787496839621,9,3,serial,1,0,319,5,0,5,0,300,1
1787496839624,9,3,parallel_o5,3,0,73,5,0,5,0,300,0
1787496839633,10,3,serial,1,0,399,6,0,6,0,300,1
1787496839636,10,3,parallel_o5,3,0,101,6,0,6,0,300,0
1787496839645,11,3,serial,1,0,453,7,0,7,0,300,1
1787496839648,11,3,parallel_o5,3,0,98,7,0,7,0,300,0
1787496839657,12,3,serial,1,0,319,4,0,4,0,300,1
1787496839660,12,3,parallel_o5,3,0,98,4,0,4,0,300,0
1787496839669,13,3,serial,1,0,368,5,0,5,0,300,1
1787496839672,13,3,parallel_o5,3,0,95,5,0,5,0,300,0
1787496839681,14,3,serial,1,0,375,6,0,6,0,300,1
1787496839684,14,3,parallel_o5,3,0,99,6,0,6,0,300,0
1787496839693,15,3,serial,1,0,518,7,0,7,0,300,1
1787496839696,15,3,parallel_o5,3,0,97,7,0,7,0,300,0
1787496839705,16,3,serial,1,0,280,4,0,4,0,300,0
1787496839708,16,3,parallel_o5,3,0,98,4,0,4,0,300,0
1787496839717,17,3,serial,1,0,373,5,0,5,0,300,1
1787496839720,17,3,parallel_o5,3,0,76,5,0,5,0,300,0
1787496839729,18,3,serial,1,0,379,6,0,6,0,300,1
1787496839732,18,3,parallel_o5,3,0,99,6,0,6,0,300,0
1787496839741,19,3,serial,1,0,501,7,0,7,0,300,1
1787496839744,19,3,parallel_o5,3,0,102,7,0,7,0,300,0
